timestep,demand_el,price_el,Eta_el_max_woDH,P_max_woDH,Eta_el_min_woDH,P_min_woDH,Beta,Q_CW_min,H_L_FG_share
209,0.7539557358,-27.01,0.6023710594,217.6776695297,0.50486065,94.8451458862,0.0008797475,25.4594843085,0.1383405991
210,0.7915978168,-28.84,0.6023485096,225,0.5048376645,94.840827733,0.0009236699,25.4613730935,0.1383568779
211,0.8049046117,-32.95,0.6023405381,217.6776695297,0.5048295389,94.8393012292,0.0009391968,25.4620407951,0.1383626326
212,0.7846126884,-34.94,0.6023526941,200,0.5048419299,94.8416290398,0.0009155194,25.4610225973,0.1383538571
213,0.7427645085,-33.7,0.6023777636,182.3223304703,0.5048674838,94.8464297003,0.0008666891,25.4589227608,0.1383357593
214,0.7222597767,-31.51,0.6023900471,175,0.5048800047,94.8487819234,0.0008427633,25.4578938849,0.1383268917
215,0.7253142056,-30.49,0.6023882173,182.3223304703,0.5048781395,94.8484315312,0.0008463274,25.4580471485,0.1383282126
216,0.7018301537,-25.89,0.6024022856,200,0.5048924797,94.8511255304,0.0008189252,25.4568687778,0.1383180566
217,0.667355165,-23.55,0.6024229381,217.6776695297,0.5049135313,94.8550803671,0.0007786983,25.4551389095,0.1383031474
218,0.6384257173,-21.57,0.6024402686,225,0.5049311966,94.8583990409,0.0007449422,25.4536873025,0.1382906365
219,0.6207751239,-21.03,0.6024508423,217.6776695297,0.5049419746,94.8604238484,0.0007243467,25.4528016401,0.1382830033
220,0.6022107055,-19.91,0.6024619634,200,0.5049533107,94.8625534863,0.000702685,25.4518701242,0.1382749748
221,0.5900806169,-19.16,0.60246923,182.3223304703,0.5049607177,94.8639450029,0.0006885311,25.4512614668,0.138269729
222,0.5726428321,-20.97,0.6024796763,175,0.5049713658,94.8659453978,0.0006681839,25.4503864826,0.1382621878
223,0.54401382,-27.25,0.6024968267,182.3223304703,0.5049888477,94.8692296068,0.0006347784,25.4489499507,0.1382498068
224,0.5529267438,-33.94,0.6024914874,200,0.5049834051,94.8682071508,0.0006451784,25.4493971789,0.1382536613
225,0.5848730659,-35.95,0.6024723497,217.6776695297,0.5049638976,94.8645423929,0.0006824547,25.451000165,0.1382674769
226,0.6227279555,-30.97,0.6024496724,225,0.5049407822,94.8601998271,0.0007266254,25.4528996283,0.1382838478
