class,demand_el,pv,wind,demand_th,price_el
,0.7072617906,0.46057,0.44043,0.2770327689,-21.19
,0.6648940807,0.444998,0.450186,0.2642448856,-25.3
,0.6471972801,0.362363,0.404823,0.256127093,-22.94
,0.6312440066,0.257345,0.309537,0.2549524913,-19.16
,0.6290645977,0.131665,0.252817,0.2589620391,-18.53
,0.6928776916,0.01056,0.266098,0.2677427087,-19.07
,0.7308865836,0,0.269156,0.2775301242,-21.06
,0.7298404673,0,0.255619,0.2933761694,-23.93
,0.7101386104,0,0.245477,0.3062412067,-27.52
,0.6726527766,0,0.245533,0.2953162858,-29.78
,0.6532996251,0,0.244637,0.2754339962,-31.33
,0.6551303287,0,0.213705,0.2359839151,-29.4
